000037.31;0.31;6734.13S;6807.49W;0.31;43;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.33;9.67;0.00;0.00;1.000;11.810;19.8;25.2;0.437;0.787;0.817;20;0;3277;2;623;9.65;9;17;0;2;1
000043.69;0.69;6734.13S;6807.49W;0.69;4;1;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.67;0.00;0.00;0.00;1.000;9.930;19.8;25.3;0.301;0.986;1.074;0;0;22;2;623;9.65;0;17;0;2;1
000050.01;1.01;6734.13S;6807.49W;1.02;8;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.00;0.00;0.00;0.00;1.000;8.990;19.8;25.3;0.205;0.260;0.261;14;0;37;2;623;9.65;0;17;0;2;1
000056.27;0.27;6734.13S;6807.50W;0.27;6;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.67;0.00;0.00;0.00;1.000;7.750;19.8;25.3;0.225;0.501;0.538;14;0;105;1;623;9.65;0;17;0;2;1
000102.96;0.96;6734.13S;6807.50W;0.96;7;3;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.67;9.00;9.67;0.00;1.000;7.170;19.8;25.3;0.417;1.307;1.582;14;0;155;3;623;9.65;0;17;0;2;1
000108.87;0.87;6734.13S;6807.50W;0.87;7;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.67;0.00;0.00;0.00;1.000;6.590;19.8;25.3;0.358;0.748;0.793;22;0;212;3;623;9.65;0;17;0;2;1
000115.15;0.15;6734.13S;6807.50W;0.15;9;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.00;0.00;0.00;0.00;1.000;6.450;19.8;25.3;0.251;0.325;0.326;15;0;266;4;623;9.65;0;17;0;2;1
000121.51;0.51;6734.13S;6807.50W;0.51;17;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.33;0.00;0.00;0.00;1.000;6.040;19.8;25.4;0.499;1.554;1.698;18;0;346;0;623;9.65;0;17;0;2;1
000127.80;0.80;6734.13S;6807.50W;0.80;7;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.00;0.00;0.00;0.00;1.000;5.960;19.8;25.3;0.244;0.303;0.303;9;0;348;0;623;9.65;0;17;0;2;1
000134.08;0.08;6734.13S;6807.50W;0.08;7;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.00;9.33;0.00;0.00;1.000;5.730;19.8;25.4;0.375;2.033;3.538;14;0;404;1;621;9.65;0;17;0;2;1
000140.39;0.40;6734.13S;6807.50W;0.40;13;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.33;0.00;0.00;0.00;1.000;5.600;19.8;25.4;0.419;0.489;0.490;15;0;414;1;622;9.65;0;17;0;2;1
000146.72;0.72;6734.13S;6807.50W;0.72;8;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;1.000;5.550;19.8;25.3;0.219;0.618;0.671;16;0;523;3;621;9.65;0;17;0;2;1
000152.99;0.99;6734.13S;6807.50W;0.99;7;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.67;8.67;0.00;0.00;1.000;5.610;19.8;25.4;0.528;1.126;1.184;14;0;471;2;624;9.65;0;17;0;2;1
000159.24;0.24;6734.13S;6807.50W;0.24;9;4;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.67;8.67;0.00;0.00;1.000;5.410;19.8;25.4;0.688;1.478;1.545;11;0;449;3;623;9.65;0;17;0;2;1
000205.62;0.63;6734.13S;6807.50W;0.63;10;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.00;0.00;0.00;0.00;1.000;5.420;19.9;25.4;0.265;0.303;0.303;11;0;452;1;624;9.65;0;17;0;2;1
000211.93;0.93;6734.13S;6807.50W;0.93;19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.00;0.00;0.00;0.00;1.000;5.320;19.8;25.4;0.287;0.321;0.321;15;0;948;1;624;9.65;0;17;0;2;1
000218.16;0.16;6734.13S;6807.50W;0.16;11;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.67;9.00;0.00;0.00;1.000;5.320;19.8;25.4;0.403;0.614;0.621;15;0;530;0;622;9.65;0;17;0;2;1
000224.44;0.44;6734.13S;6807.50W;0.44;17;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.00;0.00;0.00;0.00;1.000;5.210;19.9;25.3;0.450;0.547;0.548;12;0;833;2;623;9.65;0;17;0;2;1
000230.82;0.82;6734.13S;6807.50W;0.82;6;6;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.00;9.00;10.33;0.00;1.000;5.250;19.9;25.4;0.550;1.624;1.994;14;0;449;1;624;9.65;0;17;0;2;1
